Strategy,Accuracy,Precision,Recall,F1-Score,AUC-ROC,Train Size
No Balancing,0.9033680126961735,0.3561643835616438,0.04933586337760911,0.08666666666666667,0.6554852137011931,22681
Class Weight,0.9031916769529184,0.35526315789473684,0.051233396584440226,0.08955223880597014,0.6819435181387059,22681
SMOTE,0.835831423029448,0.17731629392971246,0.21062618595825428,0.19254119687771032,0.6569814024039354,41146
ADASYN,0.8375947804619996,0.18829113924050633,0.22580645161290322,0.20534943917169973,0.662226731609716,40555
Undersampling,0.6326926467995062,0.15143369175627241,0.6413662239089184,0.2450163102573396,0.6863252926716265,4216
SMOTE-Tomek,0.8375947804619996,0.1832797427652733,0.21631878557874762,0.19843342036553524,0.6616049796229132,40970
