Genre,Global F1,Global AUC,Specific F1,Specific AUC,F1 Improvement,AUC Improvement
pop,0.09523809523809523,0.6427764244146706,0.13761467889908258,0.6467401598666517,0.042376583660987344,0.003963735451981032
rock,0.0625,0.5808128615430846,0.07228915662650602,0.5817778432720961,0.009789156626506021,0.0009649817290114937
r&b,0.03508771929824561,0.7074102931266847,0.0,0.7159620411410387,-0.03508771929824561,0.008551748014353988
latin,0.15789473684210525,0.6864952684984608,0.06666666666666667,0.6763676668513974,-0.09122807017543859,-0.010127601647063389
edm,0.07142857142857142,0.6828055360075064,0.09090909090909091,0.813152400835073,0.019480519480519487,0.13034686482756663
rap,0.061224489795918366,0.6627854127046778,0.039603960396039604,0.6507133315522309,-0.02162052939987876,-0.012072081152446956
