Model,MAE,RMSE,R²,CV MAE
Linear Regression,19.36428159733128,23.08840293973106,0.05881093899862844,19.301561433701966
Ridge Regression,19.36429141320454,23.088407828479305,0.05881054042304312,19.301185084480984
Lasso Regression,19.37321779259555,23.09542795413885,0.058238108334321415,19.255776842758323
ElasticNet,19.38140253579287,23.10156063690906,0.057737897318947184,19.262981941792923
Random Forest,19.05486021085034,22.86140768688771,0.07722669640920932,18.89765818330721
Gradient Boosting,19.039675977306555,22.84007972276868,0.07894764866150561,18.85222295387522
Neural Network (MLP),19.1364155150924,22.90489424052295,0.07371279237451378,18.986131758746183
XGBoost,19.33036231994629,23.35636477259732,0.03683733940124512,19.253327560424804
